trans_date,description,total_debit,total_credit,opening_balance,closing_balance,transactions_amount,source_file
01/04/2019,"Bats BANK
STATEMENT SETWEEN 01/04/2019 AND ‘30/04/2019 FOR A/C: 918020087855304
(588) %
13, REVOVACION AR CONDTIONNG feiguecone Gk LAROENETALERD AND
YL Noz7 8-00 uoAy var -QeSTOMERID 2 maSBAt600
nmLOTVA EXTH, WEST OELMIDELIN er a)
Poouk DAY tisiadoiser ona
fle -WOMRATONDETARS :NOUNATON REGISTERED
Pa tone
a TO
l isevois [rama fasteion moses Lesa l
Eo a a
[ aupiore_lcouenre_[RedsesoerarseTraxraviesieiget [zanna [orl ""test l ita Ragan l
Ec ee CT
ce) TE
l 2weveo.9 l raouzmo_\werrareenaasratiirecee umes ll —eanzol or] saoaraotl GrawansPaTn_l
l zeoucore [racecars _[noersexrrreURer ewaraaaios [l aveaual orl vonarastl — LAR HAAR l
REE Cicer PD A l
TRANSACTIONTOTAL DRICR:, ‘Ssoastro0 +",0.0,0.0,0.0,0.0,0.0,1.jpg
,"M
Period Covered: Mnyporyyy ©
John Smith Opening Belance: 175,800.00
2450 Courage St, STE 108 Total Credit Amount: 510,000.00
Brownsulle, TX 78521 Total Debit Arsount: 94,000.00
‘Closing Balance: 591,800.00
-<Branch Name> ‘Account Type: Current Account
Number of Transactions: 8
‘Transactions
MMO Bavment=(red
SMMVOBIAIN l Payment Incurance 3,000.00 167,400.00
IMeVDDIVY J cheque Deposit 10,000.00 677,400.00
iMmOrN = “Raymentteiecriany ‘TOONS: ETEIBOO:
DD AYHY’ l Payment « Water Utlity ‘600.00 675,300.00
RYDER? Account Transfer Out '80;000:00 591,800.00
ssalbdiohTianeacionsss
a
Oo )
CE
a
1
eee
aETEeaorz“aomv'w—'- - aA Oooo OI.
Caeeeeermmwv’ —eeeeeeeerepsaassy
a",175800.0,0.0,0.0,0.0,0.0,10.jpg
,"If you would like more information regarding Overdraft Protection and eligibility requirements
please call the number listed on your statement or visit your Bank Plus branch.
Transaction history
Dates Reference Number Description Credits Charges Balance
01/12 61,739.97
01/12 054368486BKLGJ1J3 ACCELERATED SERVICES LLC DD 2,307.69 64,047.66
01/12 0543684832X63KP74 WENDYS #21300 RIDGELAND MS 7.87 64,039.79
02/12 051404884LYROY8N1 RAMEY’S #8 BRANDON MS: 126.13 63,913.66
02/2 054368486BLKGJ1J3 WM SUPERCENTER #2720 73.83 63,987.49
MADISON MS:
03/12 554838286BLHO12SM WAL-MART #2720 MADISON MS: 53.37 63,934.12
04/12 054368487EHTSK3WM WENDYS #22800 MADISON MS 4.28 63,929.84
04/12 5543286875SP18VSL SHELL 0357306 JACKSON MS",90.1,61739.97,0.0,0.0,55.0,11.jpg
2018/51-07,"Fovatemert Gre
‘Account Tile a
From (august 2, 2028) ‘To {laruary 15, 2019)
Saturday, August 04,
1 ” SUISCHEEGeSOIIAMIE-MARIECGS PR cd 1,969.60
2038 4:10AM
“Tharsdoy, Angust 9,
2 or Rt Or sept 05-2018/51-07-2018 me 1400 1,58860
218 5:51AM
‘Thursday, Novenber
3 3nt:31-10-2018/01-06-2018 mR 0 1997.60
08, 2018 1:14AM",0.0,0.0,0.0,0.0,1969.6,13.jpg
,"oe sxdedregs2:
ADDREBS 12
ADDRESS) 4
ADDRESS ‘8
RAE’ INH 0000-3000 CeEtONEr Ta FOLLETT?
ood00o WesouKt No: @ AICAS eI 90087
AeGouge Type) l CURRENT RECOUNT:
Waste Date = Wanuery 1, 2019
STATEMENT OF ACCOUNT FOR WHE PERIOD OF 29-Dec-2018 NO 12-Tenn2019
DATE ‘PARTICULARS",0.0,0.0,0.0,0.0,19.16,15.jpg
,"John Citizen: ‘Suement Period 4 January 2021 to 30 June 2021
‘LPatam Vihar Marg, Account number: (065.017025504
‘Chauma Gurgaon, (Account name Jonni Cicer
122087 , India Erna address Not Recorded
Yau ope sx bees a5 #1 Dacor 20, 0526
‘aur doting conunebaanca 0 6 303/08 2084 emepesz7
veesmacrcanonnane ——-Optioncade Unis UninPrka® Vahat s
Fis thoke Mocerete ow sresei osm ols
Pt actvealescad on 727780 ams ea
Papevatamad gown Osi T25us0es 7s asassas l
FesicheLrea—es200098 557 $606.43 47me mas as
accou Van waa = 000
SS
anett ype* Insourance cover cmount® Gensiit amaurc®
Ameapt Patton Desthor Tari! ems agcnen 07006
Aone Pattugon Toc ad Pormenare 900000 raap056
Décblerere
vote
X q templates Skate Bl oo
www.gotempl.com jotempt.com
End of Staternent",0.0,0.0,0.0,0.0,165.21,16.jpg
07/01/2018,"TempeteLAB
‘One of the:Gicbal'éne, money management producie-or services
Savings Account Statement ¢ > BANK:
Tax‘lnvoice:
‘Capitée Bank AT Rogtatonfmiper:
680170723
gtioa2048
‘Capltee Bank Limited Branch: 470010
¥- Quantuni Street ‘Device: 9003 From Date: éalizore
Stellenbasch ToDate: 071012018
‘7600",0.0,0.0,0.0,0.0,4691.02,20.jpg
,"‘Scan the QR Code below with your
delivered directly to ‘SmeriPhone to sign up now!
ready your email account orc
to go Avoid the monthly iy
Paperless? #2 paper statement
print fee! ‘You may nesd to get QA Code reader
Tiree Beale tw Be",0.0,0.0,0.0,0.0,20.09,22.jpg
,"— Monthly Account Fee $12.99
16 June ATM Deposit $ 90:00
26 June Mr",141.12,1445.04,0.0,0.0,1556.91,24.jpg
,"WMestpac
Westpac Choice
‘Statement of recent transactions
JESSICA REDPATH AccountGard number
113 MURIEL ST 736-157 697119
ggsnes, WA, 6110
Account opened:18-Dec-2006
Transactions
‘This statement covers the last 60 days-of transactions, (15-May-2017 to 27-hal-2017)
Current balance: $350.38
‘Transactions
aroun EAIMENT BYAUTHORITY TOJETTSBAIDNIG gp
int",0.0,0.0,0.0,0.0,350.38,25.jpg
